session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd
1,13/04/2023,Australia,Mobile,Organic Search,Books,6,1.98,0,0,0.00
2,05/11/2023,UK,Mobile,Paid Ads,Fashion,5,5.01,0,0,0.00
3,14/07/2024,Australia,Mobile,Direct,Books,5,6.44,0,1,34.35
4,29/04/2024,Canada,Mobile,Referral,Beauty,4,4.8,1,0,0.00
5,30/03/2024,India,Mobile,Organic Search,Fashion,5,5.42,1,0,0.00
6,19/07/2024,USA,Tablet,Referral,Electronics,9,3.98,0,1,13.78
7,07/07/2023,Canada,Mobile,Direct,Books,4,7.16,1,1,123.82
8,19/08/2023,Australia,Tablet,Email,Fashion,7,7.9,0,0,0.00
9,04/09/2024,Germany,Tablet,Social Media,Electronics,6,9.45,1,0,0.00
10,05/04/2024,USA,Tablet,Email,Home,6,7.75,0,1,268.26
11,31/08/2023,UK,Mobile,Paid Ads,Home,9,4.6,0,0,0.00
12,19/09/2024,India,Mobile,Email,Electronics,5,5.34,1,0,0.00
13,25/10/2024,UK,Desktop,Referral,Home,9,3.85,0,0,0.00
14,03/10/2024,India,Tablet,Email,Sports,3,4.01,1,1,2.98
15,04/09/2023,India,Desktop,Organic Search,Sports,9,8.96,1,0,0.00
16,22/11/2023,UK,Tablet,Referral,Home,8,5.71,0,1,103.87
17,17/04/2024,Canada,Mobile,Direct,Electronics,5,6.03,0,1,88.14
18,28/03/2024,India,Tablet,Paid Ads,Home,10,6.59,0,0,0.00
19,04/12/2023,India,Mobile,Organic Search,Beauty,5,4.57,0,0,0.00
20,18/05/2024,UK,Desktop,Direct,Home,7,7.76,1,1,55.04
21,11/10/2023,USA,Desktop,Social Media,Fashion,7,5.98,0,1,77.00
22,06/02/2023,Australia,Desktop,Direct,Books,10,7.42,1,1,71.56
23,15/10/2023,Australia,Mobile,Referral,Books,5,6.9,0,0,0.00
24,12/02/2024,USA,Tablet,Direct,Fashion,11,9.56,1,0,0.00
25,26/10/2024,USA,Desktop,Email,Home,6,6.71,0,1,9.08
26,11/09/2024,Australia,Tablet,Referral,Fashion,3,10.78,1,1,7.24
27,26/08/2024,Australia,Desktop,Organic Search,Fashion,4,6.37,0,0,0.00
28,02/10/2024,India,Desktop,Email,Home,4,7.89,0,1,155.78
29,22/03/2024,India,Mobile,Referral,Books,5,5.32,0,0,0.00
